Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),NAV_pct_change,Fund_Size_pct_change,Cluster
2015-03-31,0037fd02,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,566091061.4,2.42,15.23,39.1,8.29,30.8,10.22,1.96,8.26,35.46,4.11,0.0,7.96,0.27,14.47,0.76,1e-08,1e-08,0
2015-04-30,0037fd02,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,600240129.7,2.489,14.51,39.97,8.79,31.17,10.99,2.36,8.62,34.53,3.89,0.0,8.86,0.26,14.51,0.03,0.028512396694214903,0.060324337599583444,0
2015-05-31,0037fd02,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,622699512.3,2.532,12.08,38.23,8.75,29.47,16.38,2.29,14.09,33.32,9.23,0.0,8.66,0.25,12.18,-0.1,0.017276014463640132,0.0374173293132285,0
2015-03-31,003ffffa,Euro,Semi-Monthly,Insurance Product Fund,Italy,Euro,1e-08,20.614,2.93,9.94,0.02,9.91,77.68,3.93,73.76,9.45,54.03,1.36,21.16,0.17,2.93,0.0,1e-08,1e-08,3
2015-04-30,003ffffa,Euro,Semi-Monthly,Insurance Product Fund,Italy,Euro,1e-08,20.743,2.93,9.94,0.02,9.91,77.68,3.93,73.76,9.45,54.03,1.36,21.16,0.17,2.93,0.0,0.006257882992141139,1e-08,3
2015-05-31,003ffffa,Euro,Semi-Monthly,Insurance Product Fund,Italy,Euro,1e-08,20.884,2.93,9.94,0.02,9.91,77.68,3.93,73.76,9.45,54.03,1.36,21.16,0.17,2.93,0.0,0.0067974738465990114,1e-08,3
2015-03-31,005076a8,Euro,Daily,Open-End Fund,Luxembourg,Euro,77811694.62,151.589,-0.65,9.51,0.0,9.51,87.69,3.35,84.33,3.46,0.0,0.0,45.09,47.13,-0.65,-1.08,1e-08,1e-08,3
2015-04-30,005076a8,Euro,Daily,Open-End Fund,Luxembourg,Euro,79671815.46,156.559,1.24,9.69,0.0,9.69,86.82,3.66,83.16,2.24,0.0,0.0,44.31,45.96,1.24,-1.2,0.03278602009380638,0.02390541484906672,3
2015-05-31,005076a8,Euro,Daily,Open-End Fund,Luxembourg,Euro,78516996.78,157.445,-0.04,9.28,0.0,9.28,90.76,3.14,87.62,0.0,0.0,0.0,43.48,48.4,-0.04,-1.12,0.005659208349567901,-0.014494695185900186,3
2015-03-31,005c232f,Swiss Franc,Daily,Open-End Fund,Switzerland,Swiss Franc,94362310.34,3794.571,0.1,99.9,99.07,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1e-08,1e-08,1
2015-04-30,005c232f,Swiss Franc,Daily,Open-End Fund,Switzerland,Swiss Franc,103056498.5,4125.91,0.18,99.82,98.92,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.08731922528264713,0.09213623668892468,1
2015-05-31,005c232f,Swiss Franc,Daily,Open-End Fund,Switzerland,Swiss Franc,99302900.95,4002.789,42.62,57.38,56.87,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.62,0.0,-0.02984093206104832,-0.036422715739755085,1
2015-03-31,0066581e,Swiss Franc,Daily,Open-End Fund,Switzerland,Swiss Franc,65682484.26,1136.763,0.83,0.0,0.0,0.0,96.78,12.33,84.45,2.39,27.8,0.0,59.51,11.87,0.83,0.0,1e-08,1e-08,3
2015-04-30,0066581e,Swiss Franc,Daily,Open-End Fund,Switzerland,Swiss Franc,61478764.28,1168.647,0.83,0.0,0.0,0.0,96.78,12.33,84.45,2.39,27.8,0.0,59.51,11.87,0.83,0.0,0.028048062788813555,-0.06400062402268214,3
2015-05-31,0066581e,Swiss Franc,Daily,Open-End Fund,Switzerland,Swiss Franc,64785541.36,1187.993,2.79,0.0,0.0,0.0,94.82,11.49,83.33,2.39,29.03,0.0,56.4,11.78,2.79,0.0,0.01655418616571125,0.05378730556358535,3
2015-03-31,0066afee,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,1107312767.0,2063.38,3.67,0.0,0.0,0.0,85.56,42.98,42.58,10.77,5.17,0.0,91.45,0.0,3.12,0.32,1e-08,1e-08,3
2015-04-30,0066afee,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,1115820137.0,2079.63,5.06,0.0,0.0,0.0,84.55,42.58,41.97,10.39,4.87,0.0,90.09,0.0,5.23,-0.37,0.007875427696304227,0.007682897058117311,3
2015-05-31,0066afee,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,1096192260.0,2088.57,5.06,0.0,0.0,0.0,84.55,45.48,39.07,10.39,4.87,0.0,90.09,0.0,5.23,-0.37,0.004298841620865357,-0.017590538429223535,3
2015-03-31,0076c1e3,Zloty,Daily,Open-End Fund,Poland,Zloty,28158783.02,13.578,4.84,78.52,4.66,73.86,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,4.84,0.0,1e-08,1e-08,1
2015-04-30,0076c1e3,Zloty,Daily,Open-End Fund,Poland,Zloty,29329496.96,14.321,4.84,78.52,4.66,73.86,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,4.84,0.0,0.054720871998821696,0.04157544518768774,1
2015-05-31,0076c1e3,Zloty,Daily,Open-End Fund,Poland,Zloty,32631845.97,14.446,4.84,78.52,4.66,73.86,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,4.84,0.0,0.008728440751344158,0.11259480564919988,1
2015-03-31,0076ffa2,Pound Sterling,Daily,Exchange-Traded Fund,Luxembourg,Pound Sterling,95655748.58,28.916,0.05,89.8,4.67,85.13,0.01,-0.01,0.02,10.14,0.17,0.0,-0.09,0.0,0.04,0.01,1e-08,1e-08,1
2015-04-30,0076ffa2,Pound Sterling,Daily,Exchange-Traded Fund,Luxembourg,Pound Sterling,107388924.1,30.182,0.0,90.33,4.94,85.39,0.0,-0.02,0.02,9.67,0.16,0.0,-0.08,0.0,-0.01,0.01,0.04378198921012588,0.12266043279340555,1
2015-05-31,0076ffa2,Pound Sterling,Daily,Exchange-Traded Fund,Luxembourg,Pound Sterling,110787061.7,31.137,-0.01,90.26,4.81,85.44,-0.01,0.0,-0.01,9.76,0.16,0.0,-0.05,0.0,-0.02,0.01,0.031641375654363646,0.03164327819166601,1
2015-03-31,00943e8b,Euro,Daily,Open-End Fund,Spain,Euro,330050373.5,18.918,25.16,4.13,0.0,4.13,59.17,4.8,54.38,11.53,5.51,0.0,63.89,0.0,20.38,4.78,1e-08,1e-08,0
2015-04-30,00943e8b,Euro,Daily,Open-End Fund,Spain,Euro,339657030.4,19.537,25.16,4.13,0.0,4.13,59.17,4.8,54.38,11.53,5.51,0.0,63.89,0.0,20.38,4.78,0.03272016069351946,0.029106638474990065,0
2015-05-31,00943e8b,Euro,Daily,Open-End Fund,Spain,Euro,341387809.5,19.74,28.99,5.44,0.59,4.85,54.05,5.94,48.1,11.52,2.28,0.0,64.56,0.0,33.8,-4.81,0.010390541024722255,0.005095666937798171,0
2015-03-31,00d070aa,Euro,Daily,Open-End Fund,Luxembourg,Euro,175376532.2,2.321,8.09,91.53,48.47,43.06,0.07,0.0,0.07,0.31,0.0,0.0,0.08,0.0,8.08,0.0,1e-08,1e-08,1
2015-04-30,00d070aa,Euro,Daily,Open-End Fund,Luxembourg,Euro,199637168.1,2.453,7.56,91.6,51.25,40.35,0.11,0.0,0.11,0.73,0.05,0.0,0.08,0.0,7.55,0.0,0.056872037914691864,0.13833456275856282,1
2015-05-31,00d070aa,Euro,Daily,Open-End Fund,Luxembourg,Euro,208012034.1,2.457,8.52,90.76,51.63,39.13,0.09,0.0,0.09,0.63,0.04,0.0,0.07,0.0,8.4,0.11,0.0016306563391765838,0.04195043477978477,1
2015-03-31,01046c7e,Pound Sterling,Daily,Exchange-Traded Fund,Luxembourg,Pound Sterling,52638950.51,5.211,0.0,98.86,3.44,95.42,0.0,0.0,0.0,1.14,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1
2015-04-30,01046c7e,Pound Sterling,Daily,Exchange-Traded Fund,Luxembourg,Pound Sterling,53785974.48,5.325,0.0,98.79,3.46,95.33,0.0,0.0,0.0,1.21,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.021876799078871523,0.021790403472844666,1
