Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Management Fee,Annual Report Net Expense Ratio,Average Yield to Maturity (Long),Average Yield to Maturity (Net),Yield to Maturity,Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Equity Sector - Basic Materials (%),Equity Sector - Communication Services (%),Equity Sector - Consumer Cyclical (%),Equity Sector - Consumer Defensive (%),Equity Sector - Healthcare (%),Equity Sector - Industrials (%),Equity Sector - Real Estate (%),Equity Sector - Technology (%),Equity Sector - Energy (%),Equity Sector - Financial Services (%),Equity Sector - Utilities (%),Equity Country - Belgium (%),Equity Country - Brazil (%),Equity Country - Canada (%),Equity Country - China (%),Equity Country - France (%),Equity Country - Germany (%),Equity Country - Italy (%),Equity Country - India (%),Equity Country - Japan (%),Equity Country - Mexico (%),Equity Country - Netherlands (%),Equity Country - Russia (%),Equity Country - Spain (%),Equity Country - Sweden (%),Equity Country - Switzerland (%),Equity Country - United Kingdom (%),Equity Country - United States (%),Market Cap - Giant (%),Market Cap - Large (%),Market Cap - Mid (%),Market Cap - Small (%),Market Cap - Micro (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),Fixed Income - Belgium (%),Fixed Income - Brazil (%),Fixed Income - Canada (%),Fixed Income - France (%),Fixed Income - Germany (%),Fixed Income - Indonesia (%),Fixed Income - Italy (%),Fixed Income - Japan (%),Fixed Income - Mexico (%),Fixed Income - Netherlands (%),Fixed Income - Russia (%),Fixed Income - Spain (%),Fixed Income - Sweden (%),Fixed Income - Switzerland (%),Fixed Income - United Kingdom (%),Fixed Income - United States (%),Maturity - 1-3 Years (%),Maturity - 3-5 Years (%),Maturity - 5-7 Years (%),Maturity - 7-10 Years (%),Maturity - 10-15 Years (%),Maturity - 15-20 Years (%),Maturity - 20-30 Years (%),Maturity - 30+ Years (%),Credit Quality - AAA (%),Credit Quality - AA (%),Credit Quality - A (%),Credit Quality - BBB (%),Credit Quality - BB (%),Credit Quality - B (%),Credit Quality - Below B (%),Credit Quality - Not Rated (%),Equity Region - Emerging Markets (%),Equity Region - Europe Developed (%),Equity Region - North America (%),Equity Region - Japan (%),Fixed Income Region - Emerging Markets (%),Fixed Income Region - Europe Developed (%),Fixed Income Region - Japan (%),Fixed Income Region - North America (%)
3/31/2015,f57a90cc,Swedish Krona,Daily,Open-End Fund,Sweden,Swedish Krona,421212907.1,37.178,1.5,,,,,1.02,98.98,1.9,97.08,0,0,0,0,6.84,7.93,0,8.81,2.61,29.66,2.22,4.86,0,34.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.69,0,2.61,1.9,7.54,54.86,29.19,5.48,0,0,0,0,0,1.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94.48,1.9,0,,,,
5/31/2015,f57a90cc,Swedish Krona,Daily,Open-End Fund,Sweden,Swedish Krona,462575112.1,40.624,1.5,,,,,1.72,98.28,2.28,96.01,0,0,0,0,6.01,8.14,0,8.76,4.77,26.2,2.11,4.68,0,30.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,4.77,2.28,4.77,53.23,31.12,1.8,0,0,0,0,0,1.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91.24,2.28,0,,,,
4/30/2015,f57a90cc,Swedish Krona,Daily,Open-End Fund,Sweden,Swedish Krona,446215654.7,39.39,1.5,,,,,2.03,97.97,1.88,96.09,0,0,0,0,6.11,8.49,0,8.67,3.03,29.22,2.06,4.29,0,34.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.52,0,3.03,1.88,8.06,53.79,26.92,7.31,0,0,0,0,0,2.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93.06,1.88,0,,,,
3/31/2015,a39573b6,Euro,Daily,Open-End Fund,Germany,Euro,39942064.96,65.275,1.5,1.8,,,,-0.61,100.61,0,100.61,0,0,0,0,10.1,3.2,7.89,13.05,13.33,14.45,2.44,6.54,6.13,17.54,5.87,0,0,0,0,17.62,15.36,1.21,0,0,0,10.5,0,7.25,3.28,12.25,19.3,0,51.89,41,7.67,0,0,0,0,0,0,-0.13,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81.25,0,0,,,,
5/31/2015,a39573b6,Euro,Daily,Open-End Fund,Germany,Euro,43867639.13,72.416,1.5,1.8,,,,0.41,99.59,0,99.59,0,0,0,0,10.09,4.09,10,9.59,11.9,17.89,0,6.74,4.27,21.12,3.9,0,0,0,0,21.77,16.2,1.72,0,0,0,10.5,0,6.85,3.58,13.94,14.9,0,51.06,42.56,5.96,0,0,0,0,0,0,0.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84.69,0,0,,,,
4/30/2015,a39573b6,Euro,Daily,Open-End Fund,Germany,Euro,42155778.81,69.588,1.5,1.8,,,,-0.6,100.6,0,100.6,0,0,0,0,10.28,3.59,7.2,11.73,12.83,14.98,1.65,7.38,5.64,20.13,5.17,0,0,0,0,19.83,14.74,1.25,0,0,0,10.56,0,7.94,3.17,11.72,17.9,0,49.11,43.86,7.63,0,0,0,0,0,0,0.06,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82.7,0,0,,,,
4/30/2015,69e0dc29,Euro,Daily,Open-End Fund,Finland,Euro,30404969.54,1.115,2,2.8,,,,1.31,98.69,0,98.69,0,0,0,0,6.86,7.56,6.24,2.54,6.21,5.22,0.79,4.33,12.57,43.37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,62.56,26.54,4.76,0,0,0,0,1.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.69,7.01,0,0,,,,
3/31/2015,69e0dc29,Euro,Daily,Open-End Fund,Finland,Euro,28244444.71,1.028,2,2.8,,,,0.71,99.29,0,99.29,0,0,0,0,7.18,8.02,5.93,1.42,5.98,5.69,0.75,4.49,13.97,43.03,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,70.6,19.49,5.6,0,0,0,0,0.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.67,5.63,0,0,,,,
5/31/2015,69e0dc29,Euro,Daily,Open-End Fund,Finland,Euro,33488677.34,1.219,2,2.8,,,,1.46,98.54,0,98.54,0,0,0,0,7.53,7.13,6.91,2.45,6.19,4.96,0.79,4.37,12.66,42.36,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,63.74,25.09,4.41,0,0,0,0,1.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.05,7.48,0,0,,,,
4/30/2015,84b95b43,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,83107666,51.44,0.75,0.99,,,,0.56,99.55,0,99.55,0,0,0,-0.11,10.62,5.37,10.82,0,7.33,3.72,2.48,13.93,2.33,31.7,5.03,0,0,0,0,0,0,0,93.34,0,0,0,0,0,0,0,0,0,29.4,34.39,26.4,3.15,0,0,0,0,0,0.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.34,0,0,0,,,,
